date,avg_delay,median_delay,num_flights,num_delayed,num_cancelled,delay_weather,delay_carrier,delay_nas,delay_late_aircraft,delay_security,delay_rate,cancel_rate,date_parsed,year,month,day,day_of_week,day_name
2019-04-03,-2.5059820538384847,-10.0,2006,253,35,472.0,3877.0,4134.0,5873.0,114.0,12.61,1.74,2019-04-03,2019,4,3,2,Wed
2019-04-04,1.0363128491620113,-7.0,2148,347,32,360.0,6397.0,3522.0,7516.0,19.0,16.15,1.49,2019-04-04,2019,4,4,3,Thu
2019-04-05,0.7450890817724989,-7.0,2189,352,39,804.0,5821.0,3947.0,7951.0,6.0,16.08,1.78,2019-04-05,2019,4,5,4,Fri
2019-04-06,0.041620421753607105,-9.0,1802,320,46,901.0,7320.0,3949.0,5314.0,107.0,17.76,2.55,2019-04-06,2019,4,6,5,Sat
2019-04-07,11.158354755784062,-5.0,1945,470,43,2644.0,12290.0,7146.0,13861.0,32.0,24.16,2.21,2019-04-07,2019,4,7,6,Sun
2019-04-08,5.847370870172173,-6.0,2149,442,35,1559.0,7762.0,5646.0,13132.0,45.0,20.57,1.63,2019-04-08,2019,4,8,0,Mon
2019-04-09,5.192552670259676,-6.0,2041,399,19,1842.0,5842.0,6918.0,11747.0,0.0,19.55,0.93,2019-04-09,2019,4,9,1,Tue
2019-04-10,2.5576923076923075,-7.0,2028,396,80,551.0,8947.0,4657.0,7234.0,0.0,19.53,3.94,2019-04-10,2019,4,10,2,Wed
2019-04-11,3.7459057071960298,-7.0,2015,391,90,1391.0,6798.0,4961.0,9304.0,0.0,19.4,4.47,2019-04-11,2019,4,11,3,Thu
2019-04-12,10.419723677941876,-2.0,2099,538,21,677.0,8086.0,9452.0,15521.0,0.0,25.63,1.0,2019-04-12,2019,4,12,4,Fri
2019-04-13,12.63064713064713,-6.0,1638,452,77,6267.0,6394.0,6779.0,13900.0,44.0,27.59,4.7,2019-04-13,2019,4,13,5,Sat
2019-04-14,32.44919786096256,3.0,1870,875,184,7304.0,20854.0,15464.0,26196.0,0.0,46.79,9.84,2019-04-14,2019,4,14,6,Sun
2019-04-15,14.98372426998564,-4.0,2089,588,59,880.0,16279.0,8829.0,18232.0,204.0,28.15,2.82,2019-04-15,2019,4,15,0,Mon
2019-04-16,-4.176046176046176,-10.0,2079,205,14,214.0,4697.0,1731.0,5259.0,0.0,9.86,0.67,2019-04-16,2019,4,16,1,Tue
2019-04-17,-2.4336935166994107,-9.0,2036,284,52,555.0,6147.0,2276.0,4902.0,24.0,13.95,2.55,2019-04-17,2019,4,17,2,Wed
2019-04-18,10.076056338028168,-3.0,2130,518,35,2835.0,8570.0,7627.0,15984.0,0.0,24.32,1.64,2019-04-18,2019,4,18,3,Thu
2019-04-19,26.781637717121587,1.0,2015,833,165,4949.0,15948.0,20991.0,23361.0,40.0,41.34,8.19,2019-04-19,2019,4,19,4,Fri
2019-04-20,2.277385159010601,-8.0,1698,298,32,272.0,9427.0,2330.0,7484.0,0.0,17.55,1.88,2019-04-20,2019,4,20,5,Sat
2019-04-21,-3.751193887297039,-11.0,2094,254,14,374.0,6371.0,2106.0,7101.0,0.0,12.13,0.67,2019-04-21,2019,4,21,6,Sun
2019-04-22,1.2461759082217974,-7.0,2092,337,13,583.0,5413.0,6421.0,8192.0,110.0,16.11,0.62,2019-04-22,2019,4,22,0,Mon
2019-04-23,-4.625867195242814,-10.0,2018,235,24,846.0,4689.0,2184.0,4171.0,0.0,11.65,1.19,2019-04-23,2019,4,23,1,Tue
2019-04-24,-2.8812829104834847,-9.0,2089,301,38,285.0,4130.0,3314.0,5899.0,0.0,14.41,1.82,2019-04-24,2019,4,24,2,Wed
2019-04-25,-4.223684210526316,-9.0,2128,227,15,340.0,5511.0,1525.0,3985.0,39.0,10.67,0.7,2019-04-25,2019,4,25,3,Thu
2019-04-26,10.096634615384616,-5.0,2080,522,79,2061.0,7174.0,12101.0,13985.0,27.0,25.1,3.8,2019-04-26,2019,4,26,4,Fri
2019-04-27,0.6978193146417445,-9.0,1605,291,65,446.0,7270.0,3124.0,4895.0,32.0,18.13,4.05,2019-04-27,2019,4,27,5,Sat
2019-04-28,-1.8566502463054186,-9.0,2030,273,28,453.0,5470.0,2920.0,5376.0,97.0,13.45,1.38,2019-04-28,2019,4,28,6,Sun
2019-04-29,4.258049463369109,-6.0,2143,434,30,373.0,7102.0,5611.0,11153.0,0.0,20.25,1.4,2019-04-29,2019,4,29,0,Mon
2019-04-30,4.201853759011328,-6.0,1942,423,72,1434.0,5342.0,7710.0,7736.0,15.0,21.78,3.71,2019-04-30,2019,4,30,1,Tue
2019-05-01,-1.306112469437653,-8.0,2045,275,43,605.0,5547.0,2554.0,5071.0,56.0,13.45,2.1,2019-05-01,2019,5,1,2,Wed
2019-05-02,16.56296992481203,0.0,2128,724,66,2803.0,8901.0,12734.0,21234.0,0.0,34.02,3.1,2019-05-02,2019,5,2,3,Thu
2019-05-03,12.381176470588235,-2.0,2125,601,50,2376.0,8819.0,10266.0,15783.0,13.0,28.28,2.35,2019-05-03,2019,5,3,4,Fri
2019-05-04,4.11696583671106,-8.0,1727,297,21,3807.0,6296.0,3850.0,7735.0,0.0,17.2,1.22,2019-05-04,2019,5,4,5,Sat
2019-05-05,7.685066535239034,-6.0,2029,430,30,1989.0,10504.0,5292.0,12402.0,2.0,21.19,1.48,2019-05-05,2019,5,5,6,Sun
2019-05-06,1.7811463761250592,-8.0,2111,354,20,453.0,7250.0,3866.0,9623.0,54.0,16.77,0.95,2019-05-06,2019,5,6,0,Mon
2019-05-07,5.409155937052933,-7.0,2097,358,41,5178.0,7247.0,6932.0,9129.0,0.0,17.07,1.96,2019-05-07,2019,5,7,1,Tue
2019-05-08,12.379160636758321,-5.0,2073,585,96,4832.0,7296.0,10121.0,17304.0,50.0,28.22,4.63,2019-05-08,2019,5,8,2,Wed
2019-05-09,8.84747334260547,-4.0,2157,509,56,2943.0,9376.0,5976.0,14128.0,0.0,23.6,2.6,2019-05-09,2019,5,9,3,Thu
2019-05-10,4.318097876269621,-5.0,2166,453,26,713.0,7114.0,5041.0,10349.0,135.0,20.91,1.2,2019-05-10,2019,5,10,4,Fri
2019-05-11,7.954069767441861,-7.0,1720,371,36,2842.0,5752.0,5714.0,13153.0,15.0,21.57,2.09,2019-05-11,2019,5,11,5,Sat
2019-05-12,3.0218023255813953,-6.0,2064,403,32,639.0,8000.0,4001.0,9134.0,0.0,19.53,1.55,2019-05-12,2019,5,12,6,Sun
